No.,Gender,Age,Studies,Studies,Position,Date Hired
1,Male,41,None,None,"AGENTE FEDERAL DE MIGRACION ""C""",3/1/13
2,Male,42,High School,High School,"AGENTE DE PROTECCION AL MIGRANTE ""B""",3/1/13
3,Female,37,High School,High School,"AGENTE FEDERAL DE MIGRACION ""C""",3/1/13
4,Female,44,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",3/16/13
5,Male,33,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
6,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
7,Male,53,High School,High School,"AGENTE FEDERAL DE MIGRACION ""C""",4/1/13
8,Female,28,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
9,Female,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
10,Male,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
11,Male,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
12,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
13,Female,27,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
14,Female,41,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
15,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
16,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
17,Female,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
18,Female,35,None,None,"AGENTE DE PROTECCION AL MIGRANTE ""B""",4/1/13
19,Male,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
20,Male,31,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
21,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
22,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
23,Female,29,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
24,Female,32,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
25,Male,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
26,Male,30,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",4/1/13
