(Table with row headers in Col A and column headers in row 5),,,,,,,
Table 3.  World Region and Country or Area of Birth of the Foreign-Born Population: 1960 to 2000,,,,,,,
(Leading dots indicate subparts),,,,,,,
"(See text for sources, definitions, and explanations)",,,,,,,
Region and country or area,2000*,1990*,1980*,1970*,1960*,,
,,,,,,,
         Total................................................……….......,"31,107,889","19,767,316","14,079,906","9,619,302","9,738,091",,  
Reported by region and/or country 1 .......................................................,"31,107,573","18,959,158","13,192,563","9,303,570","9,678,201",,
.   Europe................................................………...…,"4,915,557","4,350,403","5,149,572","5,740,891","7,256,311",,
..      Northern and Western Europe.......................................................,"2,070,466","2,058,853","2,384,257","2,629,200","3,334,971",,
...         Northern Europe.......................................................,"974,619","968,271","1,083,499","1,271,591","1,694,430",,
.....           British Isles.......................................................,"834,225","809,972","866,966","937,474","1,171,777",,
......              United Kingdom.......................................................,"677,751","640,145","669,149","686,099","833,055",,
...…                  Great Britain (total).......................................................,"664,574","623,614","649,318","645,262","764,893",,
.......                     England.......................................................,"423,609","405,588","442,499","458,114","528,205",,
.......                     Scotland.......................................................,"88,445","104,168","142,001","170,134","213,219",,
.......                     Wales.......................................................,"10,948","10,638","13,528","17,014","23,469",,
.......                     Great Britain n.e.c........................................................,"141,572","103,220","51,290",(NA),(NA),,
......                  Northern Ireland.......................................................,"13,177","16,531","19,831","40,837","68,162",,
.....               Ireland.......................................................,"156,474","169,827","197,817","251,375","338,722",,
,,,,,,,
...             Scandinavia.......................................................,"140,394","158,299","216,533","334,117","522,653",,
.....              Denmark.......................................................,"31,422","34,999","42,732","61,410","85,060",,
.....              Finland.......................................................,"21,408","22,313","29,172","45,499","67,624",,
.....              Iceland.......................................................,"5,553","5,071","4,156","2,895","2,780",,
.....              Norway.......................................................,"32,207","42,240","63,316","97,243","152,698",,
.....              Sweden.......................................................,"49,724","53,676","77,157","127,070","214,491",,
,,,,,,,
...         Western Europe.......................................................,"1,095,847","1,090,582","1,300,758","1,357,609","1,640,541",,
....            Low countries.......................................................,"130,615","132,617","142,748","155,513","173,069",,
.....               Belgium.......................................................,"33,895","34,366","36,487","41,412","50,294",,
.....               Luxembourg.......................................................,"2,150","2,053","3,125","3,531","4,360",,
.....               Netherlands.......................................................,"94,570","96,198","103,136","110,570","118,415",,
....            Austria.......................................................,"63,648","87,673","145,607","214,014","304,507",,
....            France.......................................................,"151,154","119,233","120,215","105,385","111,582",,
....            Germany.......................................................,"706,704","711,929","849,384","832,965","989,815",,
....            Switzerland.......................................................,"43,106","39,130","42,804","49,732","61,568",,
,,,,,,,
..      Southern and Eastern Europe....................................................…,"2,840,721","2,285,513","2,748,547","3,090,991","3,907,020",,
...         Southern Europe.......................................................,"934,665","1,054,141","1,336,805","1,363,195","1,541,441",,
....            Greece.......................................................,"165,750","177,398","210,998","177,275","159,167",,
....            Italy.......................................................,"473,338","580,592","831,922","1,008,533","1,256,999",,
....            Malta.......................................................,"8,560","9,614","10,182",(NA),(NA),,
....            Portugal (total) 2 .......................................................,"203,119","210,122","209,968","119,899","80,276",,
.....               Azores Islands.......................................................,"26,599","29,656","32,531","28,865","22,586",,
.....               Portugal.......................................................,"175,571","180,466","177,437","91,034","57,690",,
....            Spain.......................................................,"82,858","76,415","73,735","57,488","44,999",,
,,,,,,,
...         Eastern Europe.......................................................,"1,906,056","1,231,372","1,411,742","1,727,796","2,365,579",,
....            Albania....................................................…,"38,663","5,627","7,381","9,180","9,618",,
....            Bulgaria.......................................................,"35,090","8,579","8,463","8,609","8,223",,
....            Czechoslovakia (former).......................................................,"83,081","87,020","112,707","160,899","227,618",,
....            Estonia.......................................................,"9,785","9,210","12,169","12,163","13,991",,
....            Hungary.......................................................,"92,017","110,337","144,368","183,236","245,252",,
....            Latvia.......................................................,"27,232","26,179","34,349","41,707","50,681",,
....            Lithuania.......................................................,"28,490","29,745","48,194","76,001","121,475",,
....            Poland.......................................................,"466,742","388,328","418,128","548,107","747,750",,
....            Romania.......................................................,"135,966","91,106","66,994","70,687","84,575",,
....            Soviet Union (former)  3 .......................................................,"838,809","333,725","406,022","463,462","690,598",,
.....               In Europe.......................................................,"710,676",(NA),(NA),(NA),(NA),,
......                  Belarus....................................................…,"38,503",(NA),(NA),(NA),(NA),,
......                  Moldova.......................................................,"19,507",(NA),(NA),(NA),(NA),,
......                  Russia.......................................................,"340,177",(NA),(NA),(NA),(NA),,
......                  Ukraine.......................................................,"275,153",(NA),(NA),(NA),(NA),,
......                  USSR n.e.c........................................................,"37,336",(NA),(NA),(NA),(NA),,
....            Yugoslavia (former).......................................................,"278,314","141,516","152,967","153,745","165,798",,
.....               Yugoslavia.......................................................,"92,483",(NA),(NA),(NA),(NA),,
.....               Bosnia and Herzegovina.......................................................,"98,766",(NA),(NA),(NA),(NA),,
